CD_MUN;NM_MUN;V01400;V01316;V01317;V01318;V01319;V01320;V01321;V01322;V01323;V01324;V01325;V01326;V01327;V01328;V01329;V01330;V01331;V01332;V01333;V01334;V01335;V01336;V01337;V01338;V01339;V01340;V01341;V01342;V01343;V01344;V01345;V01346;V01347;V01348;V01349;V01350;V01351;V01352;V01353;V01354;V01355;V01356;V01357;V01358;V01359;V01360;V01361;V01362;V01363;V01364;V01365;V01366;V01367;V01368;V01369;V01370;V01371;V01372;V01373;V01374;V01375;V01376;V01377;V01378;V01379;V01380;V01381;V01382;V01383;V01384;V01385;V01386;V01387;V01388;V01389;V01390;V01391;V01392;V01393;V01394;V01395;V01396;V01397;V01398;V01399;V01400;V01401;V01402;V01403;V01404;V01405;V01406;V01407;V01408;V01409;V01410;V01411
5000203;Água Clara;16741;0;5466;1326;10;9858;38;2743;709;0;4972;12;2723;602;6;4886;14;1807;616;0;3159;8;1224;570;399;209;0;0;2108;1040;4;3;0;92;604;702;355;0;25;198;248;82;0;0;0;0;0;6;249;1206;1219;452;0;0;3;0;0;1444;179;0;2713;4;1195;312;3;2505;5;2209;645;0;3890;10;605;140;0;744;0;505;51;0;901;0;2229;647;0;4067;12;486;40;0;940;3;2227;531;3;3944;10
5000252;Alcinópolis;4537;0;1810;229;5;2481;6;922;132;0;1292;0;888;93;4;1189;4;715;118;0;933;0;359;356;60;51;0;0;461;472;0;0;3;28;172;297;204;0;7;19;48;14;0;0;0;0;0;0;52;286;380;197;0;0;0;0;0;374;17;0;582;4;292;40;0;529;0;816;121;3;1058;0;325;26;0;312;0;143;3;0;206;0;778;119;0;1084;0;115;3;0;183;3;773;83;3;1005;0
5000609;Amambai;39325;0;18355;979;18;10058;9672;8808;501;7;5008;4732;9544;451;0;5043;4909;6596;463;0;3802;2704;3553;3035;255;171;0;0;2118;1663;802;1885;4;337;1822;2524;1862;0;7;104;157;48;0;0;0;0;0;3;230;1110;1503;888;120;635;998;642;279;4076;75;0;2065;3515;3897;213;0;2360;3259;7376;450;3;4232;2340;2998;116;0;1386;468;1394;12;0;656;1045;7404;461;3;4344;3665;1424;10;0;645;1084;8117;411;0;4382;3797
5000708;Anastácio;24114;3;7843;1310;77;13230;1620;3864;735;26;6499;807;3979;561;30;6731;802;2747;577;23;4708;490;1499;1245;314;251;3;6;2301;2405;213;258;4;80;603;1079;922;0;9;134;222;131;0;0;0;0;9;19;293;1272;1875;1216;0;16;111;170;109;1727;112;4;3071;414;1505;271;3;2904;409;3047;631;17;5330;563;1559;234;13;1920;185;597;9;0;1046;140;3259;701;22;5452;649;562;18;0;976;106;3409;517;23;5753;677
5000807;Anaurilândia;7653;0;3043;394;34;4164;9;1529;205;17;2084;0;1511;176;10;2080;4;1156;194;8;1569;0;729;425;111;78;7;0;935;627;0;0;0;43;242;454;394;0;7;28;78;61;0;0;3;0;3;3;95;368;680;409;0;0;0;0;0;598;27;4;850;3;597;65;0;869;0;1249;187;10;1806;0;596;86;6;631;0;191;7;0;268;0;1333;189;15;1812;0;206;0;0;247;0;1297;169;9;1826;0
5000856;Angélica;10729;0;4355;519;3;5818;20;2207;262;0;2988;4;2148;242;0;2828;8;1570;244;0;2146;3;829;738;119;104;0;0;1095;1049;0;3;0;70;440;574;445;0;7;74;63;53;0;0;0;0;0;0;132;700;846;425;0;0;0;0;0;1022;36;0;1312;3;808;97;0;1234;3;1772;245;0;2531;6;746;83;0;732;0;358;3;0;450;0;1839;248;0;2529;3;342;7;0;404;0;1802;225;0;2414;7
5000906;Antônio João;9303;0;3876;230;19;3690;1466;1913;127;0;1821;744;1963;91;4;1869;717;1374;98;0;1253;414;576;795;41;42;0;0;480;769;192;217;0;75;370;487;420;0;0;6;29;21;0;0;0;0;0;8;113;392;457;264;17;100;154;90;38;907;26;3;915;517;812;27;0;930;508;1489;101;3;1391;356;656;33;0;454;65;299;6;0;289;157;1611;110;0;1530;575;320;3;0;291;157;1639;79;3;1577;555
5001003;Aparecida do Taboado;27674;0;13550;1968;113;12001;7;6541;1070;37;6103;0;7009;887;47;5898;0;4927;947;31;4362;0;2640;2279;544;377;19;4;2414;1941;0;0;14;264;1244;1892;1462;0;73;302;307;154;0;0;3;3;9;17;447;1436;1561;854;0;0;0;0;0;2995;222;0;2658;0;2785;525;15;3196;0;5418;899;29;4763;0;2343;257;14;1378;0;1077;31;0;928;0;5460;995;29;5165;0;1037;47;0;884;0;5969;802;40;5006;0
5001102;Aquidauana;46803;38;13826;2950;166;22590;6948;6773;1558;40;11093;3517;7045;1362;64;11493;3396;4759;1230;39;7889;1897;2490;2255;592;602;13;7;3855;4023;986;856;3;185;1003;1726;1714;0;28;248;467;289;0;0;0;3;6;31;549;2110;3016;2102;0;68;450;678;514;2971;325;9;5335;1858;2719;649;20;5180;1809;5213;1313;35;8641;2309;2894;546;26;3426;860;967;39;3;1790;611;5787;1455;29;9291;2853;992;44;0;1677;515;6039;1262;63;9809;2832
5001243;Aral Moreira;10748;0;4154;253;24;5080;1222;2056;122;9;2591;585;2098;119;8;2489;627;1254;114;7;1637;345;614;637;38;58;0;4;766;865;155;190;0;78;399;447;311;0;6;20;32;6;0;0;3;0;0;14;147;574;588;284;15;69;128;73;51;1175;19;0;1378;430;997;53;0;1362;393;1449;132;6;1842;293;533;16;4;493;90;403;6;0;459;127;1652;109;6;2132;455;392;3;0;435;135;1702;109;8;2054;489
