codmun7;codmun;nomemun;no_regiao;regiao;no_macro;no_micro_saude;co_micro_saude;macrorregiao;nova_micro_proposta_ms;nova_macro_proposta_ms
5000203;500020;Água Clara; Três Lagoas;50004;Três Lagoas;Três Lagoas;502;5005;Leste;Costa Leste
5000252;500025;Alcinópolis; Campo Grande;50001;Campo Grande;Coxim;510;5008;Norte;Centro
5000609;500060;Amambai; Dourados;50003;Dourados;Ponta Porã;506;5006;Sul Fronteira;Cone Sul
5000708;500070;Anastácio; Campo Grande;50001;Campo Grande;Aquidauana;508;5008;Baixo Pantanal;Centro
5000807;500080;Anaurilândia; Dourados;50003;Dourados;Nova Andradina;505;5006;Sudeste;Cone Sul
5000856;500085;Angélica; Dourados;50003;Dourados;Nova Andradina;505;5006;Sudeste;Cone Sul
5000906;500090;Antônio João; Dourados;50003;Dourados;Ponta Porã;506;5006;Sul Fronteira;Cone Sul
5001003;500100;Aparecida do Taboado; Três Lagoas;50004;Três Lagoas;Paranaíba;501;5005;Nordeste;Costa Leste
5001102;500110;Aquidauana; Campo Grande;50001;Campo Grande;Aquidauana;508;5008;Baixo Pantanal;Centro
5001243;500124;Aral Moreira; Dourados;50003;Dourados;Ponta Porã;506;5006;Sul Fronteira;Cone Sul
5001508;500150;Bandeirantes; Campo Grande;50001;Campo Grande;Campo Grande;509;5008;Centro;Centro
5001904;500190;Bataguassu; Três Lagoas;50004;Três Lagoas;Três Lagoas;502;5005;Leste;Costa Leste
5002001;500200;Batayporã; Dourados;50003;Dourados;Nova Andradina;505;5006;Sudeste;Cone Sul
5002100;500210;Bela Vista; Campo Grande;50001;Campo Grande;Jardim;511;5008;Baixo Pantanal;Centro
5002159;500215;Bodoquena; Campo Grande;50001;Campo Grande;Aquidauana;508;5008;Baixo Pantanal;Centro
5002209;500220;Bonito; Campo Grande;50001;Campo Grande;Jardim;511;5008;Baixo Pantanal;Centro
5002308;500230;Brasilândia; Três Lagoas;50004;Três Lagoas;Três Lagoas;502;5005;Leste;Costa Leste
5002407;500240;Caarapó; Dourados;50003;Dourados;Dourados;503;5006;Centro Sul;Cone Sul
5002605;500260;Camapuã; Campo Grande;50001;Campo Grande;Campo Grande;509;5008;Centro;Centro
5002704;500270;Campo Grande; Campo Grande;50001;Campo Grande;Campo Grande;509;5008;Centro;Centro
5002803;500280;Caracol; Campo Grande;50001;Campo Grande;Jardim;511;5008;Baixo Pantanal;Centro
5002902;500290;Cassilândia; Três Lagoas;50004;Três Lagoas;Paranaíba;501;5005;Nordeste;Costa Leste
5002951;500295;Chapadão do Sul; Campo Grande;50001;Campo Grande;Campo Grande;509;5008;Nordeste;Costa Leste
5003108;500310;Corguinho; Campo Grande;50001;Campo Grande;Campo Grande;509;5008;Centro;Centro
5003157;500315;Coronel Sapucaia; Dourados;50003;Dourados;Ponta Porã;506;5006;Sul Fronteira;Cone Sul
5003207;500320;Corumbá; Corumbá;50002;Corumbá;Corumbá;507;5007;Pantanal;Pantanal
5003256;500325;Costa Rica; Campo Grande;50001;Campo Grande;Campo Grande;509;5008;Nordeste;Costa Leste
5003306;500330;Coxim; Campo Grande;50001;Campo Grande;Coxim;510;5008;Norte;Centro
5003454;500345;Deodápolis; Dourados;50003;Dourados;Dourados;503;5006;Centro Sul;Cone Sul
5003488;500348;Dois Irmãos do Buriti; Campo Grande;50001;Campo Grande;Aquidauana;508;5008;Baixo Pantanal;Centro
5003504;500350;Douradina; Dourados;50003;Dourados;Dourados;503;5006;Centro Sul;Cone Sul
5003702;500370;Dourados; Dourados;50003;Dourados;Dourados;503;5006;Centro Sul;Cone Sul
5003751;500375;Eldorado; Dourados;50003;Dourados;Naviraí;504;5006;Sul Fronteira;Cone Sul
5003801;500380;Fátima do Sul; Dourados;50003;Dourados;Dourados;503;5006;Centro Sul;Cone Sul
5003900;500390;Figueirão; Campo Grande;50001;Campo Grande;Campo Grande;509;5008;Norte;Centro
5004007;500400;Glória de Dourados; Dourados;50003;Dourados;Dourados;503;5006;Centro Sul;Cone Sul
